order_item_id,order_id,product_id,quantity,unit_price
1,1,5,3,20.73
2,1,5,3,20.73
3,2,37,1,422.21
4,3,40,1,137.53
5,4,17,1,303.84
6,4,43,3,110.25
7,4,21,1,415.56
8,5,43,3,110.25
9,5,20,2,44.01
10,6,30,3,108.71
11,7,35,1,138.62
12,8,23,1,290.79
13,8,16,2,52.87
14,9,35,3,138.62
15,9,20,3,44.01
16,9,42,3,438.8
17,9,1,3,17.38
18,10,9,2,212.66
19,11,18,2,366.22
20,11,39,1,403.5
21,12,44,3,200.84
22,12,17,3,303.84
23,13,6,3,113.23
24,14,1,2,17.38
25,15,11,3,380.61
26,15,29,3,85.51
27,15,46,2,127.08
28,16,5,3,20.73
29,17,24,3,27.68
30,18,9,1,212.66
31,18,20,2,44.01
32,18,3,2,369.55
33,18,14,3,478.82
34,19,23,3,290.79
35,20,16,1,52.87
36,20,12,2,350.58
37,21,27,3,193.16
38,21,48,1,217.07
39,21,18,1,366.22
40,22,3,2,369.55
41,22,15,1,55.59
42,22,30,2,108.71
43,22,20,1,44.01
44,23,26,2,428.38
45,23,18,1,366.22
46,24,42,3,438.8
47,24,26,3,428.38
48,24,35,2,138.62
49,25,12,3,350.58
50,25,17,1,303.84
51,25,7,3,303.0
52,26,28,3,319.66
53,26,33,1,269.4
54,26,25,3,387.67
55,27,46,2,127.08
56,28,24,2,27.68
57,28,5,3,20.73
58,29,43,1,110.25
59,29,47,2,271.79
60,29,33,2,269.4
61,30,26,3,428.38
62,30,19,3,66.79
63,30,9,1,212.66
64,31,44,3,200.84
65,31,12,3,350.58
66,31,37,2,422.21
67,31,26,3,428.38
68,32,14,2,478.82
69,32,38,3,118.38
70,32,42,2,438.8
71,33,44,1,200.84
72,33,33,2,269.4
73,33,48,1,217.07
74,33,43,1,110.25
75,34,6,1,113.23
76,34,44,2,200.84
77,34,15,1,55.59
78,35,16,2,52.87
79,36,27,3,193.16
80,36,37,1,422.21
81,36,46,3,127.08
82,36,25,2,387.67
83,37,42,3,438.8
84,37,1,1,17.38
85,38,12,3,350.58
86,38,34,2,85.88
87,39,8,2,103.42
88,39,9,2,212.66
89,40,49,2,202.7
90,40,40,3,137.53
91,40,33,2,269.4
92,41,48,2,217.07
93,41,29,2,85.51
94,42,50,3,498.68
95,42,32,3,306.52
96,42,16,2,52.87
97,43,16,2,52.87
98,43,22,2,443.3
99,43,35,1,138.62
100,44,25,3,387.67
101,44,10,3,296.69
102,45,27,2,193.16
103,45,35,2,138.62
104,45,27,1,193.16
105,45,14,2,478.82
106,46,49,3,202.7
107,47,23,2,290.79
108,48,35,3,138.62
109,48,48,3,217.07
110,48,39,1,403.5
111,48,32,1,306.52
112,49,2,2,126.22
113,49,22,3,443.3
114,49,44,2,200.84
115,49,47,1,271.79
116,50,26,3,428.38
117,51,6,3,113.23
118,52,12,1,350.58
119,52,17,2,303.84
120,52,21,1,415.56
121,52,30,2,108.71
122,53,49,2,202.7
123,53,17,1,303.84
124,53,31,1,352.4
125,54,23,1,290.79
126,55,49,1,202.7
127,56,40,1,137.53
128,57,43,1,110.25
129,57,37,1,422.21
130,57,30,3,108.71
131,57,17,2,303.84
132,58,50,1,498.68
133,59,20,3,44.01
134,60,46,1,127.08
135,60,5,3,20.73
136,60,45,3,75.72
137,60,16,1,52.87
138,61,37,1,422.21
139,62,43,2,110.25
140,62,5,3,20.73
141,62,42,2,438.8
142,62,1,2,17.38
143,63,24,3,27.68
144,63,30,3,108.71
145,63,10,2,296.69
146,63,12,3,350.58
147,64,40,3,137.53
148,64,50,2,498.68
149,64,30,2,108.71
150,65,21,1,415.56
151,65,6,2,113.23
152,65,29,1,85.51
153,66,22,1,443.3
154,66,32,2,306.52
155,66,12,2,350.58
156,66,14,2,478.82
157,67,39,3,403.5
158,67,18,3,366.22
159,67,1,3,17.38
160,68,47,2,271.79
161,68,32,3,306.52
162,69,42,3,438.8
163,69,32,2,306.52
164,69,2,1,126.22
165,69,19,1,66.79
166,70,20,3,44.01
167,70,38,2,118.38
168,71,28,3,319.66
169,71,36,2,113.71
170,71,23,3,290.79
171,72,17,1,303.84
172,72,8,3,103.42
173,72,13,2,142.55
174,73,13,1,142.55
175,73,48,2,217.07
176,74,7,1,303.0
177,74,19,1,66.79
178,74,24,1,27.68
179,75,18,1,366.22
180,75,4,3,48.03
181,76,41,2,457.0
182,76,7,1,303.0
183,77,31,2,352.4
184,77,22,1,443.3
185,77,4,2,48.03
186,77,31,1,352.4
187,78,5,3,20.73
188,78,41,3,457.0
189,78,4,1,48.03
190,78,10,3,296.69
191,79,8,3,103.42
192,79,49,2,202.7
193,80,50,3,498.68
194,80,25,2,387.67
195,81,20,3,44.01
196,81,40,1,137.53
197,81,40,3,137.53
198,81,7,1,303.0
199,82,43,1,110.25
200,82,11,1,380.61
201,82,12,3,350.58
202,83,27,2,193.16
203,84,19,1,66.79
204,84,15,2,55.59
205,84,46,2,127.08
206,84,45,2,75.72
207,85,17,3,303.84
208,85,38,3,118.38
209,86,35,1,138.62
210,87,10,1,296.69
211,87,4,1,48.03
212,87,20,3,44.01
213,88,29,1,85.51
214,88,30,3,108.71
215,88,20,3,44.01
216,89,29,1,85.51
217,89,39,1,403.5
218,89,28,3,319.66
219,89,21,3,415.56
220,90,15,3,55.59
221,91,49,3,202.7
222,92,49,1,202.7
223,93,18,1,366.22
224,93,38,2,118.38
225,93,41,2,457.0
226,93,6,2,113.23
227,94,21,3,415.56
228,94,7,1,303.0
229,94,22,2,443.3
230,95,43,2,110.25
231,95,49,3,202.7
232,95,3,2,369.55
233,96,21,1,415.56
234,96,50,2,498.68
235,96,33,1,269.4
236,97,27,1,193.16
237,97,13,3,142.55
238,97,24,3,27.68
239,97,49,2,202.7
240,98,14,2,478.82
241,99,29,3,85.51
242,99,32,1,306.52
243,99,2,3,126.22
244,100,20,3,44.01
245,100,1,3,17.38
246,101,8,2,103.42
247,101,8,3,103.42
248,102,33,3,269.4
249,102,18,2,366.22
250,102,31,2,352.4
251,103,25,1,387.67
252,103,39,3,403.5
253,104,18,2,366.22
254,105,1,2,17.38
255,105,47,2,271.79
256,105,38,3,118.38
257,106,29,3,85.51
258,106,31,2,352.4
259,107,30,2,108.71
260,107,13,3,142.55
261,107,16,3,52.87
262,107,25,1,387.67
263,108,21,3,415.56
264,109,25,3,387.67
265,109,42,1,438.8
266,109,32,1,306.52
267,109,9,3,212.66
268,110,29,1,85.51
269,111,47,1,271.79
270,112,5,2,20.73
271,112,17,2,303.84
